"country","continent","year","lifeExp","gdpPercap","gdpBillions","popThous"
"Algeria","Africa",1972,55,4183,61.7,14761
"Algeria","Africa",1977,58,4910,84.2,17153
"Algeria","Africa",1982,61,5745,115.1,20034
"Algeria","Africa",1987,66,5681,132.1,23255
"Algeria","Africa",1992,68,5023,132.1,26298
"Algeria","Africa",1997,69,4797,139.5,29072
"Algeria","Africa",2002,71,5288,165.4,31287
"Algeria","Africa",2007,72,6223,207.4,33333
"Angola","Africa",1972,38,5473,32.3,5895
"Angola","Africa",1977,39,3009,18.5,6163
"Angola","Africa",1982,40,2757,19.3,7016
"Angola","Africa",1987,40,2430,19.1,7874
"Angola","Africa",1992,41,2628,23,8736
"Angola","Africa",1997,41,2277,22.5,9875
"Angola","Africa",2002,41,2773,30.1,10866
"Angola","Africa",2007,43,4797,59.6,12420
"Australia","Oceania",1972,72,16789,221.2,13177
"Australia","Oceania",1977,73,18334,258,14074
"Australia","Oceania",1982,75,19477,295.7,15184
"Australia","Oceania",1987,76,21889,355.9,16257
"Australia","Oceania",1992,78,23425,409.5,17482
"Australia","Oceania",1997,79,26998,501.2,18565
"Australia","Oceania",2002,80,30688,599.8,19547
"Australia","Oceania",2007,81,34435,703.7,20434
"Austria","Europe",1972,71,16662,125.7,7544
"Austria","Europe",1977,72,19749,149.5,7568
"Austria","Europe",1982,73,21597,163.6,7575
"Austria","Europe",1987,75,23688,179.5,7579
"Austria","Europe",1992,76,27042,214,7915
"Austria","Europe",1997,78,29096,234.8,8070
"Austria","Europe",2002,79,32418,264.1,8148
"Austria","Europe",2007,80,36126,296.2,8200
"Bahrain","Asia",1972,63,18269,4.2,231
"Bahrain","Asia",1977,66,19340,5.8,297
"Bahrain","Asia",1982,69,19211,7.3,378
"Bahrain","Asia",1987,71,18524,8.4,455
"Bahrain","Asia",1992,73,19036,10.1,529
"Bahrain","Asia",1997,74,20292,12.1,599
"Bahrain","Asia",2002,75,23404,15.4,656
"Bahrain","Asia",2007,76,29796,21.1,709
"Bangladesh","Asia",1972,45,630,44.6,70759
"Bangladesh","Asia",1977,47,660,53.1,80428
"Bangladesh","Asia",1982,50,677,63,93074
"Bangladesh","Asia",1987,53,752,78,103764
"Bangladesh","Asia",1992,56,838,95.3,113705
"Bangladesh","Asia",1997,59,973,120,123315
"Bangladesh","Asia",2002,62,1136,154.2,135657
"Bangladesh","Asia",2007,64,1391,209.3,150448
"Bosnia and Herzegovina","Europe",1972,67,2860,10.9,3819
"Bosnia and Herzegovina","Europe",1977,70,3528,14.4,4086
"Bosnia and Herzegovina","Europe",1982,71,4127,17.2,4173
"Bosnia and Herzegovina","Europe",1987,71,4314,18.7,4339
"Bosnia and Herzegovina","Europe",1992,72,2547,10.8,4256
"Bosnia and Herzegovina","Europe",1997,73,4766,17.2,3607
"Bosnia and Herzegovina","Europe",2002,74,6019,25.1,4165
"Bosnia and Herzegovina","Europe",2007,75,7446,33.9,4552
"Brazil","Americas",1972,60,4986,502.8,100840
"Brazil","Americas",1977,61,6660,761.3,114314
"Brazil","Americas",1982,63,7031,906.7,128963
"Brazil","Americas",1987,65,7807,1115.9,142938
"Brazil","Americas",1992,67,6950,1084.1,155976
"Brazil","Americas",1997,69,7958,1341.3,168547
"Brazil","Americas",2002,71,8131,1462.9,179914
"Brazil","Americas",2007,72,9066,1722.6,190011
"Burkina Faso","Africa",1972,44,855,4.6,5434
"Burkina Faso","Africa",1977,46,743,4.4,5890
"Burkina Faso","Africa",1982,48,807,5.4,6635
"Burkina Faso","Africa",1987,50,912,6.9,7587
"Burkina Faso","Africa",1992,50,932,8.3,8878
"Burkina Faso","Africa",1997,50,946,9.8,10353
"Burkina Faso","Africa",2002,51,1038,12.7,12251
"Burkina Faso","Africa",2007,52,1217,17.4,14326
"Burundi","Africa",1972,44,464,1.6,3530
"Burundi","Africa",1977,46,556,2.1,3834
"Burundi","Africa",1982,47,560,2.6,4580
"Burundi","Africa",1987,48,622,3.2,5126
"Burundi","Africa",1992,45,632,3.7,5809
"Burundi","Africa",1997,45,463,2.8,6122
"Burundi","Africa",2002,47,446,3.1,7021
"Burundi","Africa",2007,50,430,3.6,8391
"Cameroon","Africa",1972,47,1684,11.8,7021
"Cameroon","Africa",1977,49,1783,14.2,7960
"Cameroon","Africa",1982,53,2368,21.9,9251
"Cameroon","Africa",1987,55,2603,28.1,10781
"Cameroon","Africa",1992,54,1793,22.4,12467
"Cameroon","Africa",1997,52,1694,24.1,14196
"Cameroon","Africa",2002,50,1934,30.8,15930
"Cameroon","Africa",2007,50,2042,36.1,17696
"Canada","Americas",1972,73,18971,422.7,22284
"Canada","Americas",1977,74,22091,525.7,23796
"Canada","Americas",1982,76,22899,577.1,25202
"Canada","Americas",1987,77,26627,706.9,26550
"Canada","Americas",1992,78,26343,751.4,28524
"Canada","Americas",1997,79,28955,877.5,30306
"Canada","Americas",2002,80,33329,1063.3,31902
"Canada","Americas",2007,81,36319,1212.7,33390
"Chad","Africa",1972,46,1104,4.3,3899
"Chad","Africa",1977,47,1134,5,4388
"Chad","Africa",1982,50,798,3.9,4875
"Chad","Africa",1987,51,952,5.2,5499
"Chad","Africa",1992,52,1058,6.8,6429
"Chad","Africa",1997,52,1005,7.6,7562
"Chad","Africa",2002,51,1156,10.2,8836
"Chad","Africa",2007,51,1704,17.4,10239
"Congo, Rep.","Africa",1972,55,3213,4.3,1340
"Congo, Rep.","Africa",1977,56,3259,5,1537
"Congo, Rep.","Africa",1982,57,4880,8.7,1775
"Congo, Rep.","Africa",1987,57,4201,8.7,2064
"Congo, Rep.","Africa",1992,56,4016,9.7,2409
"Congo, Rep.","Africa",1997,53,3484,9.8,2801
"Congo, Rep.","Africa",2002,53,3484,11.6,3329
"Congo, Rep.","Africa",2007,55,3633,13.8,3801
"Croatia","Europe",1972,70,9164,38.7,4225
"Croatia","Europe",1977,71,11305,48.8,4319
"Croatia","Europe",1982,70,13222,58.4,4413
"Croatia","Europe",1987,72,13823,62,4484
"Croatia","Europe",1992,73,8448,38,4494
"Croatia","Europe",1997,74,9876,43.9,4445
"Croatia","Europe",2002,75,11628,52.1,4481
"Croatia","Europe",2007,76,14619,65.7,4493
"Denmark","Europe",1972,73,18866,94.2,4992
"Denmark","Europe",1977,75,20423,103.9,5088
"Denmark","Europe",1982,75,21688,111,5118
"Denmark","Europe",1987,75,25116,128.8,5127
"Denmark","Europe",1992,75,26407,136.6,5171
"Denmark","Europe",1997,76,29804,157.5,5284
"Denmark","Europe",2002,77,32167,172.9,5375
"Denmark","Europe",2007,78,35278,192.9,5468
"Djibouti","Africa",1972,44,3694,0.7,179
"Djibouti","Africa",1977,47,3082,0.7,229
"Djibouti","Africa",1982,49,2879,0.9,306
"Djibouti","Africa",1987,50,2880,0.9,311
"Djibouti","Africa",1992,52,2377,0.9,384
"Djibouti","Africa",1997,53,1895,0.8,418
"Djibouti","Africa",2002,53,1908,0.9,447
"Djibouti","Africa",2007,55,2082,1,496
"Dominican Republic","Americas",1972,60,2190,10.2,4671
"Dominican Republic","Americas",1977,62,2682,14.2,5303
"Dominican Republic","Americas",1982,64,2861,17.1,5968
"Dominican Republic","Americas",1987,66,2900,19.3,6655
"Dominican Republic","Americas",1992,68,3044,22.4,7351
"Dominican Republic","Americas",1997,70,3614,28.9,7992
"Dominican Republic","Americas",2002,71,4564,39.5,8650
"Dominican Republic","Americas",2007,72,6025,56.2,9320
"Egypt","Africa",1972,51,2024,70.5,34807
"Egypt","Africa",1977,53,2785,108,38784
"Egypt","Africa",1982,56,3504,160.1,45682
"Egypt","Africa",1987,60,3885,205.1,52799
"Egypt","Africa",1992,64,3795,225.4,59402
"Egypt","Africa",1997,67,4173,276,66134
"Egypt","Africa",2002,70,4755,348.6,73313
"Egypt","Africa",2007,71,5581,448,80265
"Equatorial Guinea","Africa",1972,41,672,0.2,278
"Equatorial Guinea","Africa",1977,42,959,0.2,193
"Equatorial Guinea","Africa",1982,44,928,0.3,285
"Equatorial Guinea","Africa",1987,46,967,0.3,341
"Equatorial Guinea","Africa",1992,48,1132,0.4,388
"Equatorial Guinea","Africa",1997,48,2814,1.2,440
"Equatorial Guinea","Africa",2002,49,7703,3.8,496
"Equatorial Guinea","Africa",2007,52,12154,6.7,551
"Eritrea","Africa",1972,44,514,1.2,2260
"Eritrea","Africa",1977,45,506,1.3,2513
"Eritrea","Africa",1982,44,525,1.4,2637
"Eritrea","Africa",1987,46,521,1.5,2916
"Eritrea","Africa",1992,50,583,2.1,3668
"Eritrea","Africa",1997,53,913,3.7,4058
"Eritrea","Africa",2002,55,765,3.4,4415
"Eritrea","Africa",2007,58,641,3.1,4907
"Ethiopia","Africa",1972,44,566,17.4,30770
"Ethiopia","Africa",1977,45,557,19.3,34618
"Ethiopia","Africa",1982,45,578,22,38112
"Ethiopia","Africa",1987,47,574,24.7,43000
"Ethiopia","Africa",1992,48,421,21.9,52089
"Ethiopia","Africa",1997,49,516,30.9,59861
"Ethiopia","Africa",2002,51,530,36,67947
"Ethiopia","Africa",2007,53,691,52.9,76512
"Finland","Europe",1972,71,14359,66.6,4640
"Finland","Europe",1977,73,15605,74,4739
"Finland","Europe",1982,75,18533,89.5,4827
"Finland","Europe",1987,75,21141,104.3,4932
"Finland","Europe",1992,76,20647,104.1,5041
"Finland","Europe",1997,77,23724,121.8,5134
"Finland","Europe",2002,78,28205,146.5,5193
"Finland","Europe",2007,79,33207,174,5238
"France","Europe",1972,72,16107,833.3,51732
"France","Europe",1977,74,18293,972.5,53165
"France","Europe",1982,75,20294,1104.7,54434
"France","Europe",1987,76,22066,1227.6,55630
"France","Europe",1992,77,24704,1417.4,57374
"France","Europe",1997,79,25890,1517.7,58623
"France","Europe",2002,80,28926,1733.4,59925
"France","Europe",2007,81,30470,1861.2,61084
"Gabon","Africa",1972,49,11402,6.1,538
"Gabon","Africa",1977,53,21746,15.4,706
"Gabon","Africa",1982,57,15113,11.4,754
"Gabon","Africa",1987,60,11864,10.4,880
"Gabon","Africa",1992,61,13522,13.3,986
"Gabon","Africa",1997,60,14723,16.6,1126
"Gabon","Africa",2002,57,12522,16.3,1299
"Gabon","Africa",2007,57,13206,19.2,1455
"Ghana","Africa",1972,50,1178,11,9354
"Ghana","Africa",1977,52,993,10.5,10538
"Ghana","Africa",1982,54,876,10,11400
"Ghana","Africa",1987,56,847,12,14168
"Ghana","Africa",1992,58,925,15.1,16279
"Ghana","Africa",1997,59,1005,18.5,18418
"Ghana","Africa",2002,58,1112,22.9,20551
"Ghana","Africa",2007,60,1328,30.4,22873
"Greece","Europe",1972,72,12725,113.1,8889
"Greece","Europe",1977,74,14196,132.1,9308
"Greece","Europe",1982,75,15268,149.4,9786
"Greece","Europe",1987,77,16121,160.8,9974
"Greece","Europe",1992,77,17541,181.1,10325
"Greece","Europe",1997,78,18748,196.9,10502
"Greece","Europe",2002,78,22514,238.7,10604
"Greece","Europe",2007,79,27538,294.8,10706
"Guinea","Africa",1972,39,742,2.8,3811
"Guinea","Africa",1977,41,875,3.7,4227
"Guinea","Africa",1982,43,857,4,4710
"Guinea","Africa",1987,46,806,4.6,5650
"Guinea","Africa",1992,49,794,5.6,6991
"Guinea","Africa",1997,51,869,7,8049
"Guinea","Africa",2002,54,946,8.3,8808
"Guinea","Africa",2007,56,943,9.4,9948
"Iceland","Europe",1972,74,15798,3.3,209
"Iceland","Europe",1977,76,19655,4.4,222
"Iceland","Europe",1982,77,23270,5.4,234
"Iceland","Europe",1987,77,26923,6.6,245
"Iceland","Europe",1992,79,25144,6.5,259
"Iceland","Europe",1997,79,28061,7.6,271
"Iceland","Europe",2002,80,31163,9,288
"Iceland","Europe",2007,82,36181,10.9,302
"India","Asia",1972,51,724,410.5,567000
"India","Asia",1977,54,813,515.7,634000
"India","Asia",1982,57,856,605.9,708000
"India","Asia",1987,59,977,769.5,788000
"India","Asia",1992,60,1164,1015.4,872000
"India","Asia",1997,62,1459,1399,959000
"India","Asia",2002,63,1747,1806.5,1034173
"India","Asia",2007,65,2452,2722.9,1110396
"Iran","Asia",1972,55,9614,294.3,30614
"Iran","Asia",1977,58,11889,421.8,35481
"Iran","Asia",1982,60,7608,327.7,43073
"Iran","Asia",1987,63,6643,344.7,51890
"Iran","Asia",1992,66,7236,437,60398
"Iran","Asia",1997,68,8264,523.3,63328
"Iran","Asia",2002,69,9241,618.3,66908
"Iran","Asia",2007,71,11606,806.1,69454
"Italy","Europe",1972,72,12269,667,54366
"Italy","Europe",1977,73,14256,799.2,56059
"Italy","Europe",1982,75,16537,935,56536
"Italy","Europe",1987,76,19207,1089.6,56730
"Italy","Europe",1992,77,22014,1251.3,56841
"Italy","Europe",1997,79,24675,1418.3,57479
"Italy","Europe",2002,80,27968,1620.1,57927
"Italy","Europe",2007,81,28570,1661.3,58148
"Jordan","Asia",1972,57,2111,3.4,1614
"Jordan","Asia",1977,61,2852,5.5,1938
"Jordan","Asia",1982,64,4161,9.8,2347
"Jordan","Asia",1987,66,4449,12.5,2820
"Jordan","Asia",1992,68,3432,13.3,3867
"Jordan","Asia",1997,70,3645,16.5,4526
"Jordan","Asia",2002,71,3845,20.4,5307
"Jordan","Asia",2007,73,4519,27.4,6053
"Korea, Dem. Rep.","Asia",1972,64,3702,54.7,14781
"Korea, Dem. Rep.","Asia",1977,67,4106,67,16325
"Korea, Dem. Rep.","Asia",1982,69,4107,72.5,17648
"Korea, Dem. Rep.","Asia",1987,71,4106,78.3,19068
"Korea, Dem. Rep.","Asia",1992,70,3726,77.2,20711
"Korea, Dem. Rep.","Asia",1997,68,1691,36.5,21585
"Korea, Dem. Rep.","Asia",2002,67,1647,36.6,22215
"Korea, Dem. Rep.","Asia",2007,67,1593,37.1,23302
"Kuwait","Asia",1972,68,109348,92.1,842
"Kuwait","Asia",1977,69,59265,67.6,1140
"Kuwait","Asia",1982,71,31354,47,1497
"Kuwait","Asia",1987,74,28118,53.2,1891
"Kuwait","Asia",1992,75,34933,49.5,1418
"Kuwait","Asia",1997,76,40301,71.1,1765
"Kuwait","Asia",2002,77,35110,74.1,2112
"Kuwait","Asia",2007,78,47307,118.5,2506
"Libya","Africa",1972,53,21011,45.9,2184
"Libya","Africa",1977,57,21951,59.7,2722
"Libya","Africa",1982,62,17364,58.1,3344
"Libya","Africa",1987,66,11771,44.7,3800
"Libya","Africa",1992,69,9640,42.1,4365
"Libya","Africa",1997,72,9467,45.1,4760
